abuse;status;unemrate;age;educ;married;famsize;white;northeast;midwest;south;cigtax;employ
0;3;5,699999809;32;16;1;3;1;0;1;0;13;1
1;3;5,699999809;38;14;1;1;1;0;1;0;13;1
1;3;5,699999809;52;12;1;2;1;0;1;0;13;1
1;3;5,699999809;56;18;1;1;1;0;1;0;13;1
0;3;5,699999809;38;16;1;3;1;0;1;0;13;1
0;3;5,699999809;46;10;1;4;0;0;1;0;13;1
0;1;5,699999809;46;10;0;1;0;0;1;0;13;0
0;1;5,699999809;39;10;0;1;0;0;1;0;13;0
1;3;5,699999809;25;12;1;5;0;0;1;0;13;1
0;3;5,699999809;57;12;1;3;1;0;1;0;13;1
0;3;5,699999809;41;13;1;3;1;0;1;0;13;1
1;3;5,699999809;34;15;1;2;1;0;1;0;13;1
0;3;3,599999905;31;12;1;5;0;0;0;1;2;1
0;3;3,599999905;33;14;1;5;0;0;0;1;2;1
1;1;3,599999905;46;14;1;4;0;0;0;1;2;0
0;3;3,599999905;46;6;1;2;0;0;0;1;2;1
0;3;3,599999905;47;8;1;2;0;0;0;1;2;1
0;3;3,599999905;48;6;1;1;0;0;0;1;2;1
0;3;3,599999905;32;13;1;3;1;0;0;1;2;1
0;3;3,599999905;54;4;0;2;0;0;0;1;2;1
0;3;3,599999905;57;6;1;4;0;0;0;1;2;1
0;3;5;55;12;1;4;1;0;0;1;24;1
0;3;5;47;12;1;2;1;0;0;1;24;1
0;3;5;32;13;0;1;1;0;0;1;24;1
0;3;5;44;12;1;2;1;0;0;1;24;1
0;3;5;48;6;1;3;1;0;0;1;24;1
0;3;5;29;12;0;4;0;0;0;1;24;1
1;3;3;47;12;1;1;1;1;0;0;26;1
0;3;3;36;15;1;2;1;1;0;0;26;1
0;3;7,599999905;48;12;0;1;1;0;1;0;21;1
0;3;7,599999905;56;12;1;3;1;0;1;0;21;1
0;3;7,599999905;51;16;1;2;1;0;1;0;21;1
0;3;7,599999905;40;17;1;5;1;0;1;0;21;1
0;3;7,599999905;43;16;1;4;1;0;1;0;21;1
0;3;7,599999905;52;18;0;1;1;0;1;0;21;1
1;3;7,599999905;35;16;1;2;1;0;1;0;21;1
0;3;7,599999905;47;9;1;1;1;0;1;0;21;1
0;3;7,599999905;54;12;1;3;1;0;1;0;21;1
0;3;5,300000191;33;12;1;4;1;0;0;0;10;1
0;1;5,300000191;48;10;1;1;1;0;0;0;10;0
0;3;5,300000191;37;11;1;4;1;0;0;0;10;1
0;3;5,300000191;40;16;1;5;1;0;0;0;10;1
0;3;5,300000191;38;18;1;6;1;0;0;0;10;1
0;3;5,300000191;54;6;1;5;0;0;0;0;10;1
0;2;5,300000191;34;13;1;2;1;0;0;0;10;0
0;3;5,099999905;39;14;1;1;1;1;0;0;18;1
1;3;5,099999905;47;12;1;1;0;1;0;0;18;1
0;2;5,099999905;32;12;1;3;1;1;0;0;18;0
0;3;5,099999905;32;12;0;3;1;1;0;0;18;1
0;3;5,099999905;47;18;1;5;1;1;0;0;18;1
0;3;5,099999905;36;12;1;4;1;1;0;0;18;1
0;3;4,199999809;36;17;1;2;1;1;0;0;21;1
0;3;4,199999809;29;18;1;4;0;1;0;0;21;1
0;3;4,199999809;33;12;0;1;1;1;0;0;21;1
0;3;4,199999809;27;14;1;1;1;1;0;0;21;1
0;3;4,199999809;27;14;1;2;1;1;0;0;21;1
1;3;5,300000191;52;16;1;3;1;0;0;0;10;1
0;3;5,300000191;41;16;1;1;1;0;0;0;10;1
0;3;5,300000191;53;17;0;1;1;0;0;0;10;1
0;3;5,300000191;44;12;1;4;1;0;0;0;10;1
0;3;5,300000191;34;14;0;1;1;0;0;0;10;1
0;3;5,300000191;53;12;0;1;1;0;0;0;10;1
0;3;5,300000191;25;16;0;3;0;0;0;0;10;1
0;3;5,300000191;36;12;1;6;1;0;0;0;10;1
0;3;5,300000191;52;10;1;2;0;0;0;0;10;1
0;1;5,300000191;56;12;1;1;0;0;0;0;10;0
0;1;5,300000191;25;13;0;4;1;0;0;0;10;0
1;3;5,300000191;33;14;1;1;1;0;0;0;10;1
0;2;5,300000191;45;13;1;1;1;0;0;0;10;0
1;3;5,300000191;30;18;0;1;1;0;0;0;10;1
0;3;5,300000191;41;6;1;8;1;0;0;0;10;1
0;1;5,300000191;48;14;1;1;0;0;0;0;10;0
0;3;5,300000191;37;15;0;5;1;0;0;0;10;1
0;3;5,300000191;34;15;1;2;1;0;0;0;10;1
0;3;5,300000191;36;18;1;1;1;0;0;0;10;1
0;2;5,300000191;38;14;1;2;1;0;0;0;10;0
0;3;5,300000191;27;12;1;4;1;0;0;0;10;1
1;3;5,300000191;39;10;1;3;1;0;0;0;10;1
0;3;5,300000191;36;18;1;3;1;0;0;0;10;1
1;3;5,300000191;38;18;1;3;1;0;0;0;10;1
0;3;5,300000191;37;17;0;1;1;0;0;0;10;1
1;3;5,300000191;47;14;1;2;1;0;0;0;10;1
0;3;5,300000191;40;18;0;1;1;0;0;0;10;1
0;3;5,300000191;45;18;1;2;1;0;0;0;10;1
0;3;5,300000191;56;18;1;2;1;0;0;0;10;1
0;3;5,300000191;32;18;0;1;1;0;0;0;10;1
0;1;5,300000191;39;12;1;3;1;0;0;0;10;0
0;3;5,300000191;36;18;0;1;1;0;0;0;10;1
0;3;5,300000191;49;12;1;2;0;0;0;0;10;1
0;3;5,300000191;35;17;1;2;1;0;0;0;10;1
0;1;5,300000191;43;12;1;2;1;0;0;0;10;0
0;3;5,300000191;38;16;1;4;0;0;0;0;10;1
0;3;5,300000191;49;12;1;2;1;0;0;0;10;1
0;1;5,300000191;53;12;0;1;0;0;0;0;10;0
0;3;5,300000191;41;15;1;1;0;0;0;0;10;1
0;3;5,300000191;31;6;1;3;1;0;0;0;10;1
0;3;5,300000191;36;12;1;4;0;0;0;0;10;1
0;3;5,300000191;25;12;0;1;0;0;0;0;10;1
0;3;6,699999809;42;12;1;4;1;0;0;1;23;1
0;3;6,699999809;33;16;1;3;1;0;0;1;23;1
0;3;6,699999809;42;16;1;4;1;0;0;1;23;1
0;3;6,699999809;36;16;1;4;1;0;0;1;23;1
0;3;6,699999809;45;13;1;4;1;0;0;1;23;1
0;2;6,699999809;51;12;1;2;1;0;0;1;23;0
0;3;6,699999809;33;13;1;2;1;0;0;1;23;1
0;3;6,699999809;31;12;1;2;1;0;0;1;23;1
0;3;6,699999809;30;16;1;4;1;0;0;1;23;1
0;3;6,699999809;30;16;1;4;1;0;0;1;23;1
0;3;6,699999809;50;14;1;1;1;0;0;1;23;1
0;1;5,300000191;45;16;1;2;1;0;0;0;10;0
0;3;5,300000191;44;14;1;5;1;0;0;0;10;1
0;3;5,300000191;33;16;0;1;1;0;0;0;10;1
0;3;5,300000191;58;12;1;2;1;0;0;0;10;1
0;3;5,300000191;37;15;1;3;1;0;0;0;10;1
0;1;5,300000191;28;12;1;3;1;0;0;0;10;0
1;1;5,300000191;38;14;1;3;1;0;0;0;10;0
0;3;5,300000191;34;14;1;4;0;0;0;0;10;1
0;3;5,300000191;32;16;1;4;1;0;0;0;10;1
0;3;5,300000191;25;12;1;3;1;0;0;0;10;1
0;3;5,300000191;33;12;1;5;1;0;0;0;10;1
0;3;5,300000191;27;12;0;1;1;0;0;0;10;1
1;3;5,300000191;30;13;0;1;1;0;0;0;10;1
0;3;5,300000191;33;11;1;4;1;0;0;0;10;1
0;1;5,300000191;48;14;1;1;1;0;0;0;10;0
1;3;5,300000191;49;12;1;2;1;0;0;0;10;1
0;3;5,300000191;40;13;0;2;1;0;0;0;10;1
1;3;5,300000191;36;17;1;4;1;0;0;0;10;1
0;3;6;41;12;1;3;1;0;1;0;14;1
0;3;6;38;13;1;3;1;0;1;0;14;1
0;3;6;56;11;1;2;1;0;1;0;14;1
0;3;6;44;12;1;3;1;0;1;0;14;1
0;3;6;38;12;1;5;1;0;1;0;14;1
0;3;6;25;12;0;3;1;0;1;0;14;1
0;3;6;29;12;1;1;1;0;1;0;14;1
0;3;6;27;12;1;4;1;0;1;0;14;1
0;3;6;54;12;1;1;1;0;1;0;14;1
0;3;6;32;12;1;3;1;0;1;0;14;1
1;3;6;46;12;1;4;1;0;1;0;14;1
1;2;6;29;11;0;1;0;0;1;0;14;0
0;3;6;44;18;1;3;1;0;1;0;14;1
0;3;6;27;16;1;4;1;0;1;0;14;1
0;1;6;27;11;0;1;1;0;1;0;14;0
1;3;6;33;12;1;1;1;0;1;0;14;1
0;1;6;58;16;1;2;1;0;1;0;14;0
0;3;6;36;15;1;4;1;0;1;0;14;1
0;3;6;33;12;1;5;0;0;1;0;14;1
0;3;6;45;13;1;8;1;0;1;0;14;1
0;3;6;42;12;1;3;1;0;1;0;14;1
0;3;6;33;12;0;1;1;0;1;0;14;1
0;3;6;53;12;1;4;0;0;1;0;14;1
0;3;6;27;11;0;6;0;0;1;0;14;1
0;3;6;41;18;1;1;1;0;1;0;14;1
0;3;6;56;11;1;5;1;0;1;0;14;1
0;3;6;31;16;0;3;1;0;1;0;14;1
0;3;6;36;12;1;2;1;0;1;0;14;1
0;1;6;57;2;1;3;1;0;1;0;14;0
0;3;6;40;17;1;1;1;0;1;0;14;1
0;3;6;36;12;1;3;1;0;1;0;14;1
0;3;6;46;12;1;5;1;0;1;0;14;1
0;3;6;28;16;0;3;1;0;1;0;14;1
0;3;6;26;13;1;2;1;0;1;0;14;1
0;3;6;35;14;0;1;1;0;1;0;14;1
0;3;5,300000191;41;10;1;2;1;0;1;0;10,5;1
0;3;5,300000191;41;12;1;1;1;0;1;0;10,5;1
0;3;5,300000191;47;12;1;1;1;0;1;0;10,5;1
0;1;5,300000191;55;12;1;1;1;0;1;0;10,5;0
0;3;5,300000191;26;12;1;5;1;0;1;0;10,5;1
0;3;5,300000191;25;16;1;4;1;0;1;0;10,5;1
0;3;5,300000191;34;12;0;1;0;0;1;0;10,5;1
1;3;3,200000048;52;16;1;2;1;0;0;0;30;1
0;3;3,200000048;46;12;1;6;0;0;0;0;30;1
0;3;3,299999952;40;18;1;4;1;1;0;0;26;1
0;3;3,299999952;28;18;0;1;1;1;0;0;26;1
0;3;3,299999952;33;12;0;5;1;1;0;0;26;1
0;3;3;35;12;1;4;1;1;0;0;26;1
0;3;3;33;12;1;1;1;1;0;0;26;1
0;3;10,89999962;29;10;1;4;1;0;0;1;16;1
0;3;10,89999962;37;16;1;6;1;0;0;1;16;1
0;3;10,89999962;45;12;1;1;1;0;0;1;16;1
0;3;10,89999962;31;9;1;3;1;0;0;1;16;1
1;3;10,89999962;43;12;1;4;1;0;0;1;16;1
0;3;10,89999962;56;5;1;1;1;0;0;1;16;1
0;3;5,099999905;55;12;1;4;1;1;0;0;18;1
0;3;5,099999905;50;12;0;1;1;1;0;0;18;1
0;3;5,099999905;26;16;0;1;1;1;0;0;18;1
0;3;5,099999905;34;12;1;4;1;1;0;0;18;1
0;3;5,099999905;28;11;1;2;1;1;0;0;18;1
0;3;5,099999905;45;12;1;5;1;1;0;0;18;1
0;3;5,099999905;33;14;1;3;1;1;0;0;18;1
0;3;5,099999905;28;18;1;2;1;1;0;0;18;1
0;3;5,099999905;52;12;1;2;1;1;0;0;18;1
0;3;5,099999905;41;19;1;1;1;1;0;0;18;1
0;3;5,099999905;26;16;1;2;1;1;0;0;18;1
0;3;5,800000191;37;16;0;1;0;0;0;1;12;1
0;3;5,800000191;31;12;1;5;0;0;0;1;12;1
1;3;5,800000191;45;10;1;2;1;0;0;1;12;1
0;3;5,800000191;50;12;1;2;1;0;0;1;12;1
0;3;5,800000191;39;16;1;6;1;0;0;1;12;1
0;3;5,800000191;36;14;1;4;1;0;0;1;12;1
0;2;5,800000191;59;11;1;2;1;0;0;1;12;0
0;3;7,599999905;45;16;1;3;1;0;1;0;21;1
0;3;7,599999905;39;13;1;4;1;0;1;0;21;1
0;3;7,599999905;31;18;1;3;1;0;1;0;21;1
0;3;7,599999905;31;12;1;3;1;0;1;0;21;1
0;3;7,599999905;45;15;1;2;1;0;1;0;21;1
0;3;5,800000191;33;12;1;2;1;0;0;0;18;1
0;3;5,800000191;31;14;1;5;1;0;0;0;18;1
0;3;5,800000191;52;12;1;4;1;0;0;0;18;1
0;3;5,800000191;27;16;0;1;1;0;0;0;18;1
0;3;5,800000191;40;16;1;4;1;0;0;0;18;1
0;3;5,800000191;28;16;1;1;1;0;0;0;18;1
0;3;5,800000191;30;12;1;4;1;0;0;0;18;1
0;3;5,800000191;41;12;1;6;1;0;0;0;18;1
0;3;5,800000191;46;12;1;1;1;0;0;0;18;1
0;3;5,800000191;27;12;1;2;1;0;0;0;18;1
0;3;5,800000191;26;9;1;2;1;0;0;0;18;1
0;3;5,800000191;42;16;0;1;1;0;0;0;18;1
0;3;5,800000191;35;14;0;1;1;0;0;0;18;1
0;3;5,800000191;26;12;0;2;1;0;0;0;18;1
1;3;5,800000191;30;14;1;5;1;0;0;0;18;1
0;3;5,800000191;57;13;1;2;1;0;0;0;18;1
0;3;5,800000191;51;14;1;5;1;0;0;0;18;1
0;3;5,800000191;44;16;1;4;1;0;0;0;18;1
1;3;5,800000191;35;14;1;4;1;0;0;0;18;1
0;3;5;25;15;0;3;1;0;0;1;24;1
1;3;5;34;14;1;2;1;0;0;1;24;1
0;3;5;39;17;1;3;1;0;0;1;24;1
1;3;5;55;18;1;1;1;0;0;1;24;1
0;3;5;31;18;1;2;0;0;0;1;24;1
0;3;5;26;18;1;2;1;0;0;1;24;1
0;3;4,800000191;29;16;1;4;1;0;1;0;24;1
0;3;4,800000191;55;14;1;2;1;0;1;0;24;1
0;3;4,800000191;47;12;1;3;1;0;1;0;24;1
0;3;4,800000191;49;10;1;2;1;0;1;0;24;1
0;3;4,800000191;30;12;1;4;1;0;1;0;24;1
0;3;5;40;15;1;5;1;0;0;1;24;1
1;3;5;26;16;1;2;1;0;0;1;24;1
1;3;5;44;7;1;4;1;0;0;1;24;1
0;3;5;31;12;1;4;1;0;0;1;24;1
0;3;5;28;16;1;2;1;0;0;1;24;1
0;3;5;26;17;0;1;1;0;0;1;24;1
0;3;5;37;12;1;3;1;0;0;1;24;1
0;3;5;26;16;1;2;1;0;0;1;24;1
0;3;5;25;16;1;2;1;0;0;1;24;1
0;3;5;32;16;1;2;1;0;0;1;24;1
0;3;5;31;16;1;1;1;0;0;1;24;1
0;3;5;33;12;1;2;1;0;0;1;24;1
1;3;5;31;12;1;4;1;0;0;1;24;1
0;3;5;25;17;0;1;1;0;0;1;24;1
0;3;5;28;16;0;1;1;0;0;1;24;1
0;3;5;26;13;1;4;1;0;0;1;24;1
0;3;5;58;14;1;1;1;0;0;1;24;1
1;1;5;59;14;1;2;1;0;0;1;24;0
0;1;5;43;7;1;1;0;0;0;1;24;0
1;3;5;40;7;1;2;0;0;0;1;24;1
0;3;5;47;18;1;2;1;0;0;1;24;1
0;3;5;31;16;0;1;1;0;0;1;24;1
0;3;5;35;12;1;2;1;0;0;1;24;1
0;3;5;50;15;1;2;1;0;0;1;24;1
0;3;5;46;18;1;4;1;0;0;1;24;1
0;3;5;40;14;1;3;1;0;0;1;24;1
1;3;5,800000191;37;16;1;4;1;0;0;0;27;1
0;3;5,800000191;30;14;1;2;1;0;0;0;27;1
0;2;5,800000191;27;13;1;2;1;0;0;0;27;0
0;3;5,800000191;47;12;1;1;1;0;0;0;27;1
0;3;5,800000191;40;12;1;4;1;0;0;0;27;1
0;3;6,800000191;28;12;1;3;1;0;1;0;20;1
0;3;6,800000191;37;18;1;4;1;0;1;0;20;1
0;3;6,800000191;53;15;1;2;1;0;1;0;20;1
1;1;6,800000191;27;9;1;3;1;0;1;0;20;0
0;3;6,800000191;26;12;1;6;1;0;1;0;20;1
0;3;6,800000191;46;12;1;3;1;0;1;0;20;1
0;3;6,800000191;57;12;0;1;1;0;1;0;20;1
0;3;6,800000191;40;12;1;5;1;0;1;0;20;1
0;3;6,800000191;33;12;1;1;1;0;1;0;20;1
0;3;6,800000191;35;14;1;4;1;0;1;0;20;1
0;3;6,800000191;41;13;1;5;1;0;1;0;20;1
0;3;3,299999952;25;16;1;2;1;1;0;0;26;1
0;3;3,299999952;28;12;1;3;1;1;0;0;26;1
1;3;3,299999952;36;13;1;5;1;1;0;0;26;1
0;3;3,299999952;36;16;1;3;1;1;0;0;26;1
0;3;3,299999952;53;16;1;3;1;1;0;0;26;1
0;3;3,299999952;59;6;1;1;1;1;0;0;26;1
0;3;7,599999905;31;14;0;1;1;0;1;0;21;1
0;3;7,599999905;35;10;1;6;1;0;1;0;21;1
0;3;7,599999905;53;12;1;2;1;0;1;0;21;1
0;3;7,599999905;41;12;1;6;1;0;1;0;21;1
0;3;7,599999905;54;8;1;3;1;0;1;0;21;1
0;3;7,599999905;39;12;1;2;1;0;1;0;21;1
0;3;5,099999905;30;13;1;1;1;1;0;0;18;1
0;3;5,099999905;29;6;1;3;1;1;0;0;18;1
0;3;5,099999905;36;12;1;3;1;1;0;0;18;1
0;3;5,099999905;40;18;1;4;1;1;0;0;18;1
0;3;5,099999905;45;12;1;2;1;1;0;0;18;1
0;3;5,099999905;53;16;1;2;1;1;0;0;18;1
0;3;5,099999905;34;11;1;4;1;1;0;0;18;1
0;3;5,099999905;33;10;1;6;1;1;0;0;18;1
0;3;3,900000095;54;12;1;2;1;0;0;1;2,5;1
0;3;3,900000095;38;16;1;5;1;0;0;1;2,5;1
0;3;3,900000095;35;14;1;3;0;0;0;1;2,5;1
0;3;3,900000095;39;12;1;4;1;0;0;1;2,5;1
0;3;3,900000095;43;12;1;3;1;0;0;1;2,5;1
0;3;3,900000095;36;14;1;1;1;0;0;1;2,5;1
0;1;3,900000095;31;16;1;4;1;0;0;1;2,5;0
0;3;3,900000095;28;12;0;4;1;0;0;1;2,5;1
0;3;3,900000095;38;12;1;1;1;0;0;1;2,5;1
0;3;3,900000095;35;14;0;1;1;0;0;1;2,5;1
0;3;3,900000095;29;16;1;3;1;0;0;1;2,5;1
0;1;5,800000191;32;10;0;2;0;0;0;1;12;0
0;3;6;35;15;1;1;1;0;1;0;14;1
0;3;6;53;12;1;3;0;0;1;0;14;1
0;1;6;53;11;1;5;0;0;1;0;14;0
0;2;6;47;9;1;3;1;0;1;0;14;0
0;3;6;32;13;0;1;0;0;1;0;14;1
0;3;6;33;18;0;1;1;0;1;0;14;1
0;3;6;41;13;1;2;1;0;1;0;14;1
0;3;6;43;15;1;5;1;0;1;0;14;1
0;3;6;27;18;0;1;1;0;1;0;14;1
0;3;6;36;18;0;1;1;0;1;0;14;1
0;3;6;30;16;1;3;1;0;1;0;14;1
0;3;3;31;13;0;4;1;1;0;0;26;1
0;3;3;27;16;1;2;1;1;0;0;26;1
0;3;3;25;14;0;1;1;1;0;0;26;1
0;3;3;33;12;0;2;1;1;0;0;26;1
0;3;6,400000095;28;16;1;5;1;0;0;0;20;1
0;2;6,400000095;40;15;1;3;1;0;0;0;20;0
0;3;6,400000095;51;10;1;1;1;0;0;0;20;1
1;3;6,400000095;46;14;1;2;1;0;0;0;20;1
0;3;6,400000095;58;13;1;4;1;0;0;0;20;1
0;3;6,400000095;38;14;1;4;0;0;0;0;20;1
0;1;6,400000095;28;10;1;4;1;0;0;0;20;0
0;3;6,400000095;27;12;0;1;0;0;0;0;20;1
0;3;6,400000095;43;12;1;1;0;0;0;0;20;1
0;3;6,400000095;33;12;0;1;1;0;0;0;20;1
0;3;5,800000191;55;14;1;4;0;0;0;1;12;1
0;3;5,800000191;45;14;1;4;0;0;0;1;12;1
0;3;5,800000191;31;12;1;2;1;0;0;1;12;1
0;3;5,800000191;28;18;1;2;1;0;0;1;12;1
0;3;5,800000191;55;12;1;4;1;0;0;1;12;1
1;3;5,800000191;28;17;0;1;1;0;0;1;12;1
1;3;5,800000191;29;18;0;1;1;0;0;1;12;1
0;3;5,800000191;38;18;1;2;1;0;0;1;12;1
1;3;5,800000191;56;18;0;1;1;0;0;1;12;1
0;3;5,800000191;48;18;1;1;1;0;0;1;12;1
0;1;5,800000191;33;5;1;1;0;0;0;1;12;0
0;3;5,800000191;54;16;1;3;1;0;0;1;12;1
0;3;5,800000191;40;16;1;1;1;0;0;1;12;1
0;3;5,800000191;47;9;1;3;0;0;0;1;12;1
0;1;5,800000191;26;11;0;2;0;0;0;1;12;0
0;3;6,800000191;37;16;1;2;1;0;0;0;16;1
1;3;6,800000191;35;16;1;3;1;0;0;0;16;1
0;3;6,800000191;34;12;1;4;1;0;0;0;16;1
0;1;6,800000191;50;16;0;2;1;0;0;0;16;0
0;3;6,800000191;52;12;1;4;1;0;0;0;16;1
0;3;6,800000191;33;14;1;1;1;0;0;0;16;1
0;3;6,800000191;31;13;0;1;1;0;0;0;16;1
0;3;6,800000191;41;14;1;2;1;0;0;0;16;1
0;3;6,800000191;49;18;1;4;1;0;0;0;16;1
0;3;6,800000191;54;12;1;2;1;0;0;0;16;1
0;3;6,800000191;43;13;1;4;1;0;0;0;16;1
0;3;6,800000191;31;12;1;2;1;0;0;0;16;1
1;3;6,800000191;37;15;0;1;1;0;0;0;16;1
0;3;6,800000191;32;14;1;1;1;0;0;0;16;1
0;2;6,800000191;30;14;0;1;1;0;0;0;16;0
1;3;3,799999952;58;10;1;1;0;1;0;0;25;1
0;3;3,799999952;27;16;1;3;0;1;0;0;25;1
0;3;3,799999952;34;11;1;4;0;1;0;0;25;1
0;3;3,799999952;26;16;0;1;1;1;0;0;25;1
1;3;3,799999952;50;18;0;1;1;1;0;0;25;1
1;3;3,799999952;50;12;1;1;1;1;0;0;25;1
0;3;3,799999952;34;18;1;2;1;1;0;0;25;1
0;3;3,799999952;46;12;1;4;1;1;0;0;25;1
0;3;3,799999952;50;12;1;2;1;1;0;0;25;1
0;3;3,799999952;30;16;0;1;0;1;0;0;25;1
0;3;3,799999952;31;12;0;1;0;1;0;0;25;1
0;1;3,799999952;53;12;1;6;1;1;0;0;25;0
0;3;3,799999952;50;12;0;2;1;1;0;0;25;1
0;3;3,799999952;44;18;1;2;1;1;0;0;25;1
0;1;3,799999952;52;17;1;4;0;1;0;0;25;0
0;3;7,300000191;36;12;0;1;0;0;0;1;20,5;1
0;3;7,300000191;45;9;1;4;1;0;0;1;20,5;1
1;3;7,300000191;26;12;1;3;0;0;0;1;20,5;1
0;3;7,300000191;28;13;0;1;0;0;0;1;20,5;1
1;2;7,300000191;28;12;0;1;0;0;0;1;20,5;0
0;3;7,300000191;37;17;1;1;1;0;0;1;20,5;1
0;3;7,300000191;54;10;1;5;0;0;0;1;20,5;1
1;3;7,300000191;44;17;1;3;1;0;0;1;20,5;1
1;3;7,300000191;39;18;1;1;1;0;0;1;20,5;1
0;3;7,300000191;41;16;1;4;1;0;0;1;20,5;1
0;3;7,300000191;41;16;1;4;1;0;0;1;20,5;1
0;3;7,300000191;48;9;1;2;1;0;0;1;20,5;1
0;3;7,300000191;38;16;1;1;1;0;0;1;20,5;1
1;3;7,300000191;26;18;0;1;1;0;0;1;20,5;1
0;3;7,300000191;51;18;1;1;1;0;0;1;20,5;1
0;3;7,300000191;30;17;0;1;1;0;0;1;20,5;1
0;3;7,300000191;37;16;1;5;1;0;0;1;20,5;1
0;1;7,300000191;43;10;1;3;1;0;0;1;20,5;0
0;3;7,300000191;41;15;1;1;1;0;0;1;20,5;1
0;3;7,300000191;57;2;1;2;1;0;0;1;20,5;1
0;3;7,300000191;29;16;0;3;1;0;0;1;20,5;1
0;3;5,800000191;58;14;1;2;0;0;0;0;27;1
0;3;5,800000191;33;17;0;1;1;0;0;0;27;1
0;3;5,800000191;25;13;0;1;1;0;0;0;27;1
0;2;5,800000191;35;16;1;1;1;0;0;0;27;0
1;2;5,800000191;56;11;0;1;1;0;0;0;27;0
0;3;5,800000191;30;13;1;5;1;0;0;0;27;1
0;3;5,800000191;57;11;1;2;1;0;0;0;27;1
0;3;6,699999809;32;16;0;1;1;0;0;1;23;1
0;3;6,699999809;36;18;1;1;1;0;0;1;23;1
1;1;6,699999809;25;9;1;2;1;0;0;1;23;0
0;3;6,699999809;44;12;1;2;1;0;0;1;23;1
0;2;6,699999809;48;13;1;2;1;0;0;1;23;0
0;3;6,699999809;56;14;1;2;1;0;0;1;23;1
0;3;6,699999809;45;16;1;2;1;0;0;1;23;1
0;3;6,699999809;34;12;1;4;1;0;0;1;23;1
0;3;7,900000095;31;18;1;3;0;0;0;1;3;1
0;2;7,900000095;34;17;1;4;0;0;0;1;3;0
0;3;7,900000095;50;14;1;1;0;0;0;1;3;1
1;3;7,900000095;46;10;1;2;1;0;0;1;3;1
0;3;7,900000095;35;12;1;4;1;0;0;1;3;1
0;1;7,900000095;57;8;1;2;1;0;0;1;3;0
0;1;7,900000095;52;8;1;2;1;0;0;1;3;0
0;3;7,900000095;42;16;1;1;1;0;0;1;3;1
0;3;7,900000095;46;15;1;1;1;0;0;1;3;1
0;1;7,900000095;54;10;1;4;0;0;0;1;3;0
0;3;6,699999809;37;18;1;4;1;0;0;1;23;1
0;3;6,699999809;31;16;1;2;1;0;0;1;23;1
0;3;6,699999809;57;13;1;3;1;0;0;1;23;1
0;3;6,699999809;40;18;1;5;1;0;0;1;23;1
0;3;6,800000191;34;10;0;3;1;0;1;0;20;1
0;3;6,800000191;43;15;1;5;1;0;1;0;20;1
0;3;6,800000191;39;16;0;1;1;0;1;0;20;1
0;3;6,800000191;36;16;0;1;1;0;1;0;20;1
1;3;6,800000191;25;14;0;1;1;0;1;0;20;1
0;3;6,800000191;26;16;0;1;1;0;1;0;20;1
0;1;6,800000191;52;18;0;1;1;0;1;0;20;0
0;3;6,800000191;35;12;1;5;1;0;1;0;20;1
0;3;6,800000191;40;12;1;3;0;0;1;0;20;1
0;3;6,800000191;48;12;1;2;0;0;1;0;20;1
0;3;6,800000191;57;12;1;3;0;0;1;0;20;1
0;3;6,800000191;39;12;1;5;1;0;1;0;20;1
